,Date,Mid,Volume
442,2008-08-08,1272.65,20941200000.0
60,2008-08-15,1294.005,22672020000.0
867,2008-08-22,1280.69,20317740000.0
350,2008-08-29,1281.94505,17650180000.0
158,2008-09-05,1260.135,20070120000.0
426,2008-09-12,1242.98,34417920000.0
429,2008-09-19,1199.31,46641070000.0
570,2008-09-26,1217.58,26635470000.0
899,2008-10-03,1153.60495,31026630000.0
732,2008-10-10,968.6800499999999,42016790000.0
733,2008-10-17,955.07005,36533970000.0
40,2008-10-24,919.145,30185400000.0
322,2008-10-31,914.825,32302980000.0
267,2008-11-07,953.62,26484080000.0
953,2008-11-14,885.32,29064670000.0
937,2008-11-21,811.655,36745200000.0
800,2008-11-28,848.725,23366260000.0
706,2008-12-05,852.1500000000001,30469750000.0
395,2008-12-12,884.96,29662270000.0
55,2008-12-19,888.2850000000001,29279860000.0
229,2008-12-26,872.23,12348420000.0
495,2009-01-02,895.9000000000001,15172440000.0
492,2009-01-09,916.0799999999999,25219520000.0
233,2009-01-16,853.72,30293780000.0
75,2009-01-23,826.97,24519050000.0
761,2009-01-30,849.765,28010020000.0
27,2009-02-06,841.81,31088160000.0
311,2009-02-13,841.535,30044110000.0
817,2009-02-20,786.4300000000001,25606060000.0
460,2009-02-27,757.3199999999999,37753880000.0
531,2009-03-06,698.1800000000001,37964220000.0
935,2009-03-13,715.585,37297180000.0
659,2009-03-20,776.585,39816380000.0
655,2009-03-27,802.645,34764100000.0
803,2009-04-03,812.71,31434350000.0
797,2009-04-09,835.72,24904750000.0
637,2009-04-17,855.605,34196510000.0
380,2009-04-24,849.315,35415850000.0
590,2009-05-01,867.9100000000001,30217790000.0
498,2009-05-08,904.69,39760120000.0
335,2009-05-15,900.965,31688760000.0
177,2009-05-22,902.105,31698640000.0
173,2009-05-29,900.74,23155250000.0
318,2009-06-05,937.475,28312350000.0
573,2009-06-12,941.335,24331760000.0
601,2009-06-19,923.115,25570130000.0
734,2009-06-26,905.4300000000001,25599580000.0
919,2009-07-02,914.17,16689730000.0
338,2009-07-10,884.02,23366910000.0
337,2009-07-17,909.6400000000001,23927320000.0
54,2009-07-24,960.39,25016500000.0
688,2009-07-31,982.665,26474660000.0
719,2009-08-07,1004.11,32139730000.0
389,2009-08-14,1002.77,26868820000.0
647,2009-08-21,1003.05,23323250000.0
649,2009-08-28,1027.835,28722910000.0
895,2009-09-04,1010.21,26431300000.0
614,2009-09-11,1033.42505,20551690000.0
610,2009-09-18,1054.885,30234840000.0
470,2009-09-25,1060.66,25406510000.0
626,2009-10-02,1044.7849999999999,26050400000.0
629,2009-10-09,1048.7150000000001,22333550000.0
370,2009-10-16,1081.6350499999999,23701850000.0
99,2009-10-23,1087.83505,25592330000.0
779,2009-10-30,1062.565,30408570000.0
423,2009-11-06,1050.43,26451130000.0
689,2009-11-13,1088.8400499999998,21094360000.0
150,2009-11-20,1100.25,20612520000.0
850,2009-11-27,1098.06,12928000000.0
890,2009-12-04,1102.69,22677340000.0
611,2009-12-11,1098.305,20754380000.0
237,2009-12-18,1105.045,28364370000.0
466,2009-12-24,1115.89505,12053050000.0
204,2009-12-31,1122.59505,9561710000.0
602,2010-01-08,1130.97505,21115350000.0
353,2010-01-15,1140.9,21816230000.0
72,2010-01-22,1120.3150500000002,22618330000.0
69,2010-01-29,1087.63995,25397670000.0
397,2010-02-05,1074.615,25411190000.0
650,2010-02-12,1068.275,22017080000.0
656,2010-02-19,1095.775,16162900000.0
934,2010-02-26,1099.155,20970170000.0
179,2010-03-05,1122.37,20011650000.0
881,2010-03-12,1144.1550000000002,24026590000.0
885,2010-03-19,1155.645,22944000000.0
727,2010-03-26,1166.7849500000002,23756390000.0
474,2010-04-01,1173.60005,16951790000.0
478,2010-04-09,1184.8899999999999,22307770000.0
735,2010-04-16,1200.345,29874510000.0
900,2010-04-23,1200.4800500000001,29000480000.0
207,2010-04-30,1200.71,31552280000.0
864,2010-05-07,1135.46,38419430000.0
643,2010-05-14,1147.91995,28958750000.0
331,2010-05-21,1102.2800000000002,32640260000.0
328,2010-05-28,1072.15,27644340000.0
180,2010-06-04,1083.085,21474390000.0
452,2010-06-11,1067.21,26847570000.0
455,2010-06-18,1105.02,23186040000.0
710,2010-06-25,1099.56,23498560000.0
930,2010-07-02,1046.7549999999999,25504460000.0
740,2010-07-09,1048.255,17677490000.0
89,2010-07-16,1081.38995,22438320000.0
502,2010-07-23,1080.305,22901430000.0
249,2010-07-30,1104.48,21356600000.0
501,2010-08-06,1117.96,19817300000.0
773,2010-08-13,1102.96495,20320520000.0
572,2010-08-20,1082.025,18887030000.0
913,2010-08-27,1060.6399999999999,19756640000.0
