,Date,Mid,Volume
2239,2001-03-14,1176.505,1397400000.0
2685,2001-03-15,1174.375,1259500000.0
3503,2001-03-16,1161.10005,1543560000.0
3494,2001-03-19,1160.34005,1126200000.0
4397,2001-03-20,1161.375,1235900000.0
3621,2001-03-21,1134.065,1346300000.0
225,2001-03-22,1102.72995,1723950000.0
2807,2001-03-23,1129.705,1364900000.0
3089,2001-03-26,1149.925,1114000000.0
3088,2001-03-27,1167.155,1314200000.0
4616,2001-03-28,1165.0,1333400000.0
372,2001-03-29,1148.97495,1234500000.0
3229,2001-03-30,1153.315,1280800000.0
3166,2001-04-02,1153.51,1254900000.0
3167,2001-04-03,1123.02995,1386100000.0
1810,2001-04-04,1104.745,1425590000.0
1911,2001-04-05,1127.3600000000001,1368000000.0
2827,2001-04-06,1135.3649500000001,1266800000.0
2653,2001-04-09,1136.255,1062800000.0
3559,2001-04-10,1155.755,1349600000.0
3558,2001-04-11,1171.25,1290300000.0
1594,2001-04-12,1170.62,1102000000.0
3561,2001-04-16,1176.0100000000002,913900000.0
4501,2001-04-17,1180.575,1109600000.0
3553,2001-04-18,1220.1150499999999,1918900000.0
4310,2001-04-19,1243.5500000000002,1486800000.0
3889,2001-04-20,1244.055,1338700000.0
3888,2001-04-23,1230.225,1012600000.0
3886,2001-04-24,1221.2150000000001,1216500000.0
584,2001-04-25,1219.87,1203600000.0
315,2001-04-26,1238.525,1345200000.0
4497,2001-04-27,1243.79495,1091300000.0
1844,2001-04-30,1256.645,1266800000.0
599,2001-05-01,1255.01,1181300000.0
598,2001-05-02,1265.3150500000002,1342200000.0
3339,2001-05-03,1253.65505,1137900000.0
3336,2001-05-04,1249.755,1082100000.0
3324,2001-05-07,1264.5949500000002,949000000.0
592,2001-05-08,1260.005,1006300000.0
591,2001-05-09,1254.74,1132400000.0
255,2001-05-10,1261.35005,1056700000.0
256,2001-05-11,1250.315,906200000.0
257,2001-05-14,1245.35005,858200000.0
258,2001-05-15,1251.405,1071800000.0
4601,2001-05-16,1264.705,1405300000.0
260,2001-05-17,1289.565,1355600000.0
253,2001-05-18,1286.6050500000001,1130800000.0
3351,2001-05-21,1300.4099999999999,1174900000.0
3373,2001-05-22,1311.41005,1260400000.0
3392,2001-05-23,1299.04,1134800000.0
3457,2001-05-24,1288.13,1100700000.0
1630,2001-05-25,1284.795,828100000.0
2652,2001-05-29,1271.915,1026000000.0
896,2001-05-30,1256.94505,1158600000.0
897,2001-05-31,1254.9899500000001,1226600000.0
803,2001-06-01,1256.1100000000001,1015000000.0
1910,2001-06-04,1261.7649999999999,836500000.0
1131,2001-06-05,1276.8649999999998,1116800000.0
2757,2001-06-06,1276.4299999999998,1061900000.0
1776,2001-06-07,1271.08,1089600000.0
1229,2001-06-08,1268.55,726200000.0
1563,2001-06-11,1257.095,870100000.0
1565,2001-06-12,1248.375,1136500000.0
1564,2001-06-13,1250.67,1063600000.0
1567,2001-06-14,1230.25,1242900000.0
1566,2001-06-15,1212.2649999999999,1635550000.0
1558,2001-06-18,1214.78,1111600000.0
4599,2001-06-19,1216.9099999999999,1184900000.0
620,2001-06-20,1217.83995,1350100000.0
621,2001-06-21,1230.245,1546820000.0
3841,2001-06-22,1229.5700000000002,1189200000.0
624,2001-06-25,1222.55,1050100000.0
625,2001-06-26,1212.67,1198900000.0
626,2001-06-27,1213.605,1162100000.0
4569,2001-06-28,1222.7549,1327300000.0
3517,2001-06-29,1229.2150000000001,1832360000.0
3109,2001-07-02,1231.905,1128300000.0
4369,2001-07-03,1233.07005,622110000.0
2994,2001-07-05,1226.8000000000002,934900000.0
658,2001-07-06,1203.99,1056700000.0
1383,2001-07-09,1195.755,1045700000.0
1950,2001-07-10,1191.6801,1263800000.0
3541,2001-07-11,1176.69505,1384100000.0
1072,2001-07-12,1195.21505,1394000000.0
3539,2001-07-13,1211.0749999999998,1121700000.0
3535,2001-07-16,1209.8400000000001,1039800000.0
2449,2001-07-17,1205.75,1238100000.0
3544,2001-07-18,1206.3849500000001,1316300000.0
2904,2001-07-19,1215.42,1343500000.0
455,2001-07-20,1211.3649500000001,1170900000.0
442,2001-07-23,1202.8600000000001,986900000.0
